metric	value	note
input_edge_rows	654	
mode	high	all, gated, or high
networkx_available	yes	
nodes	36	
edges	122	
connected_components	3	
largest_component_node_fraction	0.555556	Large values indicate atlas-scale connectivity; interpret with decoy controls.
density	0.193651	
same_route_edge_fraction	0.975410	
cross_route_bridge_fraction	0.024590	
decoy_fraction_among_kept_edges	0.000000	
greedy_communities	3	
weighted_modularity	0.318828	
route_mix_edge_count	106	energetic_module|energetic_module
route_mix_edge_count	3	energetic_module|host_scaffold
route_mix_edge_count	13	host_scaffold|host_scaffold
pair_class_pass_rate	0.327586	host_scaffold_positive|non_decoy|gated 19/58|high 13/58
pair_class_pass_rate	0.200000	reciprocal_cross_route|non_decoy|gated 40/200|high 3/200
pair_class_pass_rate	0.561224	route_consistent_positive|non_decoy|gated 110/196|high 106/196
pair_class_pass_rate	0.050000	unrelated_decoy|decoy|gated 10/200|high 0/200
