marker_id,run_label,status,n_eukaryotic_terminals,nearest_alphaproteobacteria_n,nearest_alphaproteobacteria_fraction,nearest_archaea_n,nearest_archaea_fraction,nearest_nonalpha_bacteria_n,nearest_nonalpha_bacteria_fraction,n_total_records,compartment_class,route_expectation
IBA57,fixed_LGFR6,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,180,mitochondrial_integration,alpha_enriched
ISCA1,fixed_LGFR6,ok,60.0,57.0,0.95,1.0,0.0166666666666666,2.0,0.0333333333333333,155,mitochondrial_integration,alpha_enriched
ISCA2,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,132,mitochondrial_integration,boundary_or_mosaic
ISCU,fixed_LGFR6,ok,60.0,3.0,0.05,15.0,0.25,42.0,0.7,240,mitochondrial_integration,alpha_enriched
NFS1,fixed_LGFR6,ok,60.0,55.0,0.9166666666666666,0.0,0.0,5.0,0.0833333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
FDX1_FDX2,fixed_LGFR6,ok,60.0,18.0,0.3,8.0,0.1333333333333333,34.0,0.5666666666666667,240,mitochondrial_integration,boundary_or_mosaic
GLRX5,fixed_LGFR6,ok,60.0,7.0,0.1166666666666666,25.0,0.4166666666666667,28.0,0.4666666666666667,240,mitochondrial_integration,alpha_enriched_or_mixed
ABCB7_ATM1,fixed_LGFR6,ok,60.0,24.0,0.4,12.0,0.2,24.0,0.4,240,interface_upstream,boundary_or_mosaic
NFU1,fixed_LGFR6,ok,60.0,59.0,0.9833333333333332,1.0,0.0166666666666666,0.0,0.0,197,mitochondrial_integration,alpha_enriched_or_mixed
BOLA3,fixed_LGFR6,ok,60.0,13.0,0.2166666666666666,0.0,0.0,47.0,0.7833333333333333,240,mitochondrial_integration,alpha_enriched_or_mixed
NUBPL,fixed_LGFR6,ok,60.0,60.0,1.0,0.0,0.0,0.0,0.0,63,mitochondrial_integration,alpha_enriched_or_mixed
LYRM4_ISD11,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,mitochondrial_integration,alpha_enriched_or_mixed
CIAO1,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,62,cytosolic_CIA,nonalpha_archaea_or_mosaic
CIAO2B,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
CIAO3,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
MMS19,not_run,not_estimable_no_eukaryote_or_no_reference,,,,,,,,60,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP1_NBP35,fixed_LGFR6,ok,60.0,0.0,0.0,54.0,0.9,6.0,0.1,155,cytosolic_CIA,nonalpha_archaea_or_mosaic
NUBP2_CFD1,fixed_LGFR6,ok,60.0,0.0,0.0,0.0,0.0,60.0,1.0,93,cytosolic_CIA,nonalpha_archaea_or_mosaic
