marker_id,model_finder_status,model_finder_alpha_fraction,model_finder_archaea_fraction,model_finder_nonalpha_bacteria_fraction,model_finder_n_eukaryotic_terminals,full_fixed_LGFR6_status,full_fixed_LGFR6_alpha_fraction,full_fixed_LGFR6_archaea_fraction,full_fixed_LGFR6_nonalpha_bacteria_fraction,full_fixed_LGFR6_n_eukaryotic_terminals,fixed_rerun_LGFR6_status,fixed_rerun_LGFR6_alpha_fraction,fixed_rerun_LGFR6_archaea_fraction,fixed_rerun_LGFR6_nonalpha_bacteria_fraction,fixed_rerun_LGFR6_n_eukaryotic_terminals,compartment_class,route_expectation,interpretation
IBA57,ok,1.0,0.0,0.0,60.0,ok,1.0,0.0,0.0,60.0,ok,1.0,0.0,0.0,60.0,mitochondrial_integration,alpha_enriched,consistently alpha-enriched across estimable runs
ISCA1,ok,0.05,0.0166666666666666,0.9333333333333332,60.0,ok,0.95,0.0166666666666666,0.0333333333333333,60.0,ok,0.95,0.0166666666666666,0.0333333333333333,60.0,mitochondrial_integration,alpha_enriched,model- or rerun-sensitive alpha enrichment; interpret cautiously
ISCA2,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,mitochondrial_integration,boundary_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
ISCU,ok,0.7666666666666667,0.2166666666666666,0.0166666666666666,60.0,ok,0.7333333333333333,0.25,0.0166666666666666,60.0,ok,0.05,0.25,0.7,60.0,mitochondrial_integration,alpha_enriched,model- or rerun-sensitive alpha enrichment; interpret cautiously
NFS1,ok,0.8666666666666667,0.0,0.1333333333333333,60.0,ok,0.8666666666666667,0.0,0.1333333333333333,60.0,ok,0.9166666666666666,0.0,0.0833333333333333,60.0,mitochondrial_integration,alpha_enriched_or_mixed,consistently alpha-enriched across estimable runs
FDX1_FDX2,ok,0.2833333333333333,0.1666666666666666,0.55,60.0,ok,0.3,0.15,0.55,60.0,ok,0.3,0.1333333333333333,0.5666666666666667,60.0,mitochondrial_integration,boundary_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
GLRX5,ok,0.1166666666666666,0.0666666666666666,0.8166666666666667,60.0,ok,0.1166666666666666,0.0666666666666666,0.8166666666666667,60.0,ok,0.1166666666666666,0.4166666666666667,0.4666666666666667,60.0,mitochondrial_integration,alpha_enriched_or_mixed,non-alpha/archaeal/mosaic nearest-neighbour signal
ABCB7_ATM1,ok,0.3166666666666666,0.2333333333333333,0.45,60.0,ok,0.3166666666666666,0.2333333333333333,0.45,60.0,ok,0.4,0.2,0.4,60.0,interface_upstream,boundary_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
NFU1,ok,1.0,0.0,0.0,60.0,ok,1.0,0.0,0.0,60.0,ok,0.9833333333333332,0.0166666666666666,0.0,60.0,mitochondrial_integration,alpha_enriched_or_mixed,consistently alpha-enriched across estimable runs
BOLA3,ok,0.2166666666666666,0.0,0.7833333333333333,60.0,ok,0.2166666666666666,0.0,0.7833333333333333,60.0,ok,0.2166666666666666,0.0,0.7833333333333333,60.0,mitochondrial_integration,alpha_enriched_or_mixed,non-alpha/archaeal/mosaic nearest-neighbour signal
NUBPL,ok,1.0,0.0,0.0,60.0,ok,1.0,0.0,0.0,60.0,ok,1.0,0.0,0.0,60.0,mitochondrial_integration,alpha_enriched_or_mixed,consistently alpha-enriched across estimable runs
LYRM4_ISD11,not_estimable,,,,,not_estimable,,,,,not_estimable,,,,,mitochondrial_integration,alpha_enriched_or_mixed,not estimable in expanded screen
CIAO1,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,cytosolic_CIA,nonalpha_archaea_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
CIAO2B,not_estimable,,,,,not_estimable,,,,,not_estimable,,,,,cytosolic_CIA,nonalpha_archaea_or_mosaic,not estimable in expanded screen
CIAO3,not_estimable,,,,,not_estimable,,,,,not_estimable,,,,,cytosolic_CIA,nonalpha_archaea_or_mosaic,not estimable in expanded screen
MMS19,not_estimable,,,,,not_estimable,,,,,not_estimable,,,,,cytosolic_CIA,nonalpha_archaea_or_mosaic,not estimable in expanded screen
NUBP1_NBP35,ok,0.0,0.8166666666666667,0.1833333333333333,60.0,ok,0.0,0.8166666666666667,0.1833333333333333,60.0,ok,0.0,0.9,0.1,60.0,cytosolic_CIA,nonalpha_archaea_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
NUBP2_CFD1,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,ok,0.0,0.0,1.0,60.0,cytosolic_CIA,nonalpha_archaea_or_mosaic,non-alpha/archaeal/mosaic nearest-neighbour signal
