marker_id,group,selected_records,max_per_group,status
IBA57,eukaryota,60,60,reused
IBA57,alphaproteobacteria,60,60,reused
IBA57,archaea,0,60,existing_empty
IBA57,nonalpha_bacteria,60,60,reused
ISCA1,eukaryota,60,60,reused
ISCA1,alphaproteobacteria,15,60,reused
ISCA1,archaea,20,60,reused
ISCA1,nonalpha_bacteria,60,60,reused
ISCA2,eukaryota,60,60,reused
ISCA2,alphaproteobacteria,11,60,reused
ISCA2,archaea,1,60,reused
ISCA2,nonalpha_bacteria,60,60,reused
ISCU,eukaryota,60,60,reused
ISCU,alphaproteobacteria,60,60,reused
ISCU,archaea,60,60,reused
ISCU,nonalpha_bacteria,60,60,reused
NFS1,eukaryota,60,60,reused
NFS1,alphaproteobacteria,60,60,reused
NFS1,archaea,60,60,reused
NFS1,nonalpha_bacteria,60,60,reused
FDX1_FDX2,eukaryota,60,60,reused
FDX1_FDX2,alphaproteobacteria,60,60,reused
FDX1_FDX2,archaea,60,60,reused
FDX1_FDX2,nonalpha_bacteria,60,60,reused
GLRX5,eukaryota,60,60,reused
GLRX5,alphaproteobacteria,60,60,reused
GLRX5,archaea,60,60,reused
GLRX5,nonalpha_bacteria,60,60,reused
ABCB7_ATM1,eukaryota,60,60,reused
ABCB7_ATM1,alphaproteobacteria,60,60,reused
ABCB7_ATM1,archaea,60,60,reused
ABCB7_ATM1,nonalpha_bacteria,60,60,reused
NFU1,eukaryota,60,60,reused
NFU1,alphaproteobacteria,60,60,reused
NFU1,archaea,17,60,reused
NFU1,nonalpha_bacteria,60,60,reused
BOLA3,eukaryota,60,60,reused
BOLA3,alphaproteobacteria,60,60,reused
BOLA3,archaea,60,60,reused
BOLA3,nonalpha_bacteria,60,60,reused
NUBPL,eukaryota,60,60,reused
NUBPL,alphaproteobacteria,1,60,reused
NUBPL,archaea,0,60,existing_empty
NUBPL,nonalpha_bacteria,2,60,reused
LYRM4_ISD11,eukaryota,60,60,reused
LYRM4_ISD11,alphaproteobacteria,0,60,existing_empty
LYRM4_ISD11,archaea,0,60,existing_empty
LYRM4_ISD11,nonalpha_bacteria,0,60,existing_empty
CIAO1,eukaryota,60,60,reused
CIAO1,alphaproteobacteria,0,60,existing_empty
CIAO1,archaea,0,60,existing_empty
CIAO1,nonalpha_bacteria,2,60,reused
CIAO2B,eukaryota,60,60,reused
CIAO2B,alphaproteobacteria,0,60,existing_empty
CIAO2B,archaea,0,60,existing_empty
CIAO2B,nonalpha_bacteria,0,60,existing_empty
CIAO3,eukaryota,60,60,reused
CIAO3,alphaproteobacteria,0,60,existing_empty
CIAO3,archaea,0,60,existing_empty
CIAO3,nonalpha_bacteria,0,60,existing_empty
MMS19,eukaryota,60,60,reused
MMS19,alphaproteobacteria,0,60,existing_empty
MMS19,archaea,0,60,existing_empty
MMS19,nonalpha_bacteria,0,60,existing_empty
NUBP1_NBP35,eukaryota,60,60,reused
NUBP1_NBP35,alphaproteobacteria,21,60,reused
NUBP1_NBP35,archaea,14,60,reused
NUBP1_NBP35,nonalpha_bacteria,60,60,reused
NUBP2_CFD1,eukaryota,60,60,reused
NUBP2_CFD1,alphaproteobacteria,0,60,existing_empty
NUBP2_CFD1,archaea,0,60,existing_empty
NUBP2_CFD1,nonalpha_bacteria,33,60,reused
