"study_id","study_short","evidence_layer","evidence_unit","unit_id","unit_label","functional_class","compartment","module_family","donor_class","donor_label","host_score","symbiont_score","other_score","dominance_margin","alpha_localization","source_table","source_sheet","row_ref","extractability","priority_tier","notes"
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00128","Ubiquinone biosynthesis, eukaryotes","injection","mitochondrial","M00128","symbiont","Alphaproteobacteria","0.106296","0.408043","","0.301747","0.793335","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00128","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00142","NADH:ubiquinone oxidoreductase, mitochondria","injection","mitochondrial","M00142","symbiont","Alphaproteobacteria","0.037411","0.796901","","0.75949","0.955159","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00142","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00143","NADH dehydrogenase Fe-S/flavoprotein complex, mitochondria","injection","mitochondrial","M00143","symbiont","Alphaproteobacteria","0.073976","0.596155","","0.52218","0.88961","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00143","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","R11945","NADH:ubiquinone oxidoreductase","injection","mitochondrial","R11945","symbiont","Alphaproteobacteria","0.117722","0.54513","","0.427408","0.822401","module_metrics.csv;top_taxon_profile_by_module.csv","na","R11945","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","map00190","Oxidative phosphorylation","injection","mitochondrial","map00190","host","Asgard","0.340923","0.244651","","-0.096273","0.417797","module_metrics.csv;top_taxon_profile_by_module.csv","na","map00190","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00065","GPI-anchor core oligosaccharide","scaffold","membrane-associated","M00065","host","Asgard","0.585583","0.00573","","-0.579852","0.009690000000000001","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00065","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00095","C5 isoprenoid biosynthesis, mevalonate","scaffold","membrane-associated","M00095","host","Asgard","0.285274","0.027011","","-0.258263","0.086495","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00095","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00367","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes","scaffold","membrane-associated","M00367","other","Actinomycetota","0.261436","3e-06","","-0.261433","1.1e-05","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00367","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","M00849","C5 isoprenoid biosynthesis, mevalonate (archaea)","scaffold","membrane-associated","M00849","other","Deltaproteobacteria","0.253248","0.032196","","-0.221052","0.112793","module_metrics.csv;top_taxon_profile_by_module.csv","na","M00849","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
"TOB2026","Tobiasson_2026","module_summary","functional_module","map00563","GPI-anchor biosynthesis","scaffold","membrane-associated","map00563","host","Asgard","0.674376","0.004093","","-0.670282","0.006033","module_metrics.csv;top_taxon_profile_by_module.csv","na","map00563","derived","A","Pooled module-level summary across standardized settings derived from Tobiasson 2026 Zenodo/EPOC-KEGG outputs."
