group_column,removed_group,n_units,n_dependency_groups,prespecified_rank,prespecified_source_equal,best_alternative_source_equal,margin_vs_best_alternative
gtdb_order,o__AKS1,3642,1504,5,0.16462567298831063,0.6009591599165738,-0.4363334869282631
gtdb_order,o__Acetobacterales,3640,1505,5,0.1626003480570048,0.6027582881604284,-0.44015794010342363
gtdb_order,o__Acidiferrobacterales,3611,1494,5,0.16345267934098812,0.6017675279128979,-0.4383148485719098
gtdb_order,o__Acidithiobacillales,3578,1483,5,0.16150674033009074,0.6029398806297526,-0.44143314029966185
gtdb_order,o__Aquificales,3593,1487,5,0.16584204413472706,0.5993612078977932,-0.4335191637630662
gtdb_order,o__Azospirillales,3615,1491,5,0.1652015433483219,0.6002966715169816,-0.4350951281686597
gtdb_order,o__Beggiatoales,3637,1505,5,0.16568560188597997,0.5997584135580355,-0.4340728116720555
gtdb_order,o__Burkholderiales,2937,1204,5,0.1807784911717496,0.583868378812199,-0.4030898876404494
gtdb_order,o__Campylobacterales,3251,1332,5,0.18282452747320485,0.586654826207226,-0.4038302987340211
gtdb_order,o__Chlorobiales,3615,1497,5,0.16260205655335927,0.602351063394911,-0.4397490068415517
gtdb_order,o__Chromatiales,3471,1449,5,0.1587781581969961,0.604547353033309,-0.4457691948363129
gtdb_order,o__DSM-5130,3610,1493,5,0.16544465563832783,0.6003371507715135,-0.4348924951331857
gtdb_order,o__Deinococcales,3598,1488,5,0.1601540297212279,0.6042455797808873,-0.44409155005965945
gtdb_order,o__Ectothiorhodospirales,3564,1476,5,0.16955969028082746,0.5958299626333834,-0.42627027235255593
gtdb_order,o__GCF-013343005,3645,1506,5,0.1645493833208147,0.60086487486801,-0.4363154915471953
gtdb_order,o__Granulosicoccales,3639,1505,5,0.1656050723847334,0.5999998182201572,-0.4343947458354238
gtdb_order,o__Halothiobacillales,3609,1493,5,0.16879274148548323,0.5973780217745427,-0.42858528028905946
gtdb_order,o__Magnetococcales,3641,1504,5,0.16480534682168568,0.6005434156341163,-0.4357380688124306
gtdb_order,o__Methylococcales,3598,1491,5,0.16177171748275365,0.6041684256532255,-0.44239670817047183
gtdb_order,o__Myxococcales,3652,1509,5,0.16437954869597282,0.601090153131536,-0.4367106044355632
gtdb_order,o__Nitrococcales,3650,1508,5,0.16409678570762165,0.6012224314884002,-0.4371256457807785
gtdb_order,o__Pseudomonadales,3553,1476,5,0.1434945240343118,0.6216644402396967,-0.4781699162053849
gtdb_order,o__Rhizobiales,2892,1163,5,0.15927587646076796,0.6082533388981636,-0.4489774624373956
gtdb_order,o__Rhodobacterales,3289,1357,5,0.1776498166254712,0.5886953066328353,-0.4110454900073641
gtdb_order,o__Rhodospirillales,3636,1501,5,0.16423756106880646,0.6011408608313545,-0.43690329976254805
gtdb_order,o__Sneathiellales,3653,1509,5,0.1651191261003899,0.6003505757271189,-0.435231449626729
gtdb_order,o__Thalassobaculales,3653,1509,5,0.1651191261003899,0.6003505757271189,-0.435231449626729
gtdb_order,o__Thiohalomonadales,3627,1500,5,0.16511191293379096,0.6001349408900232,-0.4350230279562322
gtdb_order,o__Thiomicrospirales,3646,1507,5,0.1648514417510799,0.6006381248620822,-0.4357866831110023
gtdb_order,o__Thiotrichales,3585,1487,5,0.16359708628911657,0.60107044956486,-0.43747336327574343
gtdb_order,o__Vulcanimicrobiales,3651,1509,5,0.16501593964476677,0.600218184793976,-0.43520224514920924
gtdb_order,o__Xanthomonadales,3652,1509,5,0.16437954869597282,0.601090153131536,-0.4367106044355632
