gtdb_class	window_bp	genomes	clusters	observed_mobile_prevalence	matched_control_prevalence	mean_count_difference
	5000	29	52	0.07692307692307693	0.10576923076923077	-0.09038461538461538
	10000	29	52	0.07692307692307693	0.16923076923076924	-0.2403846153846154
	20000	29	52	0.25	0.2548076923076923	-0.27403846153846156
c__Alphaproteobacteria	5000	152	271	0.05166051660516605	0.09280442804428045	-0.08856088560885608
c__Alphaproteobacteria	10000	152	271	0.0996309963099631	0.13985239852398523	-0.12066420664206642
c__Alphaproteobacteria	20000	152	271	0.18450184501845018	0.22250922509225093	-0.18708487084870848
c__Aquificia	5000	9	10	0.1	0.05	0.045
c__Aquificia	10000	9	10	0.1	0.075	0.02
c__Aquificia	20000	9	10	0.3	0.14	0.145
c__Campylobacteria	5000	58	89	0.0449438202247191	0.10842696629213483	-0.1050561797752809
c__Campylobacteria	10000	58	89	0.07865168539325842	0.15617977528089888	-0.16685393258426967
c__Campylobacteria	20000	58	89	0.15730337078651685	0.23089887640449439	-0.23258426966292134
c__Chlorobiia	5000	4	5	0.0	0.18	-0.27
c__Chlorobiia	10000	4	5	0.0	0.23	-0.38
c__Chlorobiia	20000	4	5	0.4	0.33	-0.22
c__Deinococci	5000	8	9	0.0	0.25555555555555554	-0.4166666666666667
c__Deinococci	10000	8	9	0.1111111111111111	0.35555555555555557	-0.6277777777777778
c__Deinococci	20000	8	9	0.2222222222222222	0.4722222222222222	-0.8666666666666667
c__Gammaproteobacteria	5000	164	283	0.07773851590106007	0.11554770318021201	-0.0939929328621908
c__Gammaproteobacteria	10000	164	283	0.10954063604240283	0.1696113074204947	-0.15848056537102473
c__Gammaproteobacteria	20000	164	283	0.2049469964664311	0.2664310954063604	-0.20989399293286218
c__Magnetococcia	5000	1	3	0.0	0.2	-0.2833333333333333
c__Magnetococcia	10000	1	3	0.0	0.2833333333333333	-0.4666666666666667
c__Magnetococcia	20000	1	3	0.0	0.4166666666666667	-0.9666666666666667
c__Myxococcia	5000	1	1	0.0	0.1	-0.5
c__Myxococcia	10000	1	1	0.0	0.2	-0.7
c__Myxococcia	20000	1	1	0.0	0.25	-0.75
c__Vulcanimicrobiia	5000	1	1	0.0	0.4	-1.55
c__Vulcanimicrobiia	10000	1	1	1.0	0.7	-1.45
c__Vulcanimicrobiia	20000	1	1	1.0	0.8	0.2
