architecture_signature	clusters	genomes	classes	orders	median_gene_count	mean_strand_coherence
soxx-soxy-soxz-soxa-soxb-soxc	108	108	3	8	6.0	1.0
soxx-soxy-soxz-soxa-soxb	94	94	7	15	5.0	1.0
soxc-soxy-soxz-soxa-soxx-soxb	87	87	4	7	6.0	1.0
soxc	74	59	4	9	1.0	1.0
soxx-soxz-soxa	58	58	3	4	3.0	1.0
soxy-soxz	58	54	6	16	2.0	1.0
soxc-soxx-soxy-soxz-soxa-soxb	48	48	4	5	6.0	1.0
soxy-soxz-soxa-soxx-soxb	24	24	3	3	5.0	1.0
soxb	21	20	3	10	1.0	1.0
soxc-soxy-soxz	20	20	2	2	3.0	1.0
soxx-soxa	10	10	2	5	2.0	1.0
soxx-soxa-soxy-soxz-soxb-soxc	10	10	2	2	6.0	0.6666666666666667
soxx-soxy-soxz-soxa	10	10	4	7	4.0	1.0
soxy-soxz-soxa-soxx-soxb-soxx-soxa-soxc	9	9	2	2	8.0	1.0
soxy-soxz-soxa-soxx	8	8	3	5	4.0	1.0
soxa-soxx	7	7	2	4	2.0	1.0
soxa	6	5	1	3	1.0	1.0
soxb-soxx-soxa	6	6	2	2	3.0	0.7222222222222223
soxy-soxz-soxb	5	5	1	2	3.0	1.0
soxc-soxy-soxz-soxb	4	4	2	2	4.0	1.0
soxx-soxa-soxy-soxz	4	4	2	3	4.0	1.0
soxx-soxa-soxy-soxz-soxb	4	4	2	2	5.0	0.8
soxz	4	4	2	2	1.0	1.0
soxx-soxa-soxb	3	3	1	1	3.0	0.7777777777777778
soxx-soxy-soxz-soxa-soxy-soxz-soxb	3	3	1	1	7.0	1.0
soxy-soxz-soxb-soxc	3	3	1	2	4.0	1.0
soxy-soxz-soxb-soxx-soxa	3	3	1	1	5.0	1.0
soxa-soxx-soxy-soxz	2	2	2	2	4.0	1.0
soxx	2	2	1	1	1.0	1.0
soxx-soxy-soxz	2	2	1	1	3.0	1.0
soxy	2	2	1	1	1.0	1.0
soxy-soxz-soxa	2	2	1	1	3.0	1.0
soxy-soxz-soxy-soxz-soxa-soxx-soxb	2	2	1	1	7.0	1.0
soxz-soxc-soxx-soxy-soxz-soxa-soxb	2	2	1	1	7.0	0.8571428571428571
soxa-soxx-soxa-soxx-soxa-soxx	1	1	1	1	6.0	1.0
soxa-soxx-soxx	1	1	1	1	3.0	1.0
soxa-soxy-soxz	1	1	1	1	3.0	1.0
soxa-soxy-soxz-soxb-soxc	1	1	1	1	5.0	1.0
soxb-soxy-soxz-soxa	1	1	1	1	4.0	1.0
soxc-soxb	1	1	1	1	2.0	1.0
soxc-soxc	1	1	1	1	2.0	1.0
soxc-soxy-soxx-soxy-soxz-soxa-soxb-soxc	1	1	1	1	8.0	0.875
soxc-soxy-soxz-soxx-soxb	1	1	1	1	5.0	1.0
soxx-soxa-soxy-soxz-soxc	1	1	1	1	5.0	0.8
soxx-soxy-soxz-soxa-soxy-soxz	1	1	1	1	6.0	1.0
soxx-soxy-soxz-soxb-soxc	1	1	1	1	5.0	1.0
soxx-soxz-soxa-soxb	1	1	1	1	4.0	1.0
soxx-soxz-soxa-soxc-soxx-soxy-soxz-soxa-soxb	1	1	1	1	9.0	1.0
soxy-soxz-soxa-soxa-soxx-soxb	1	1	1	1	6.0	1.0
soxy-soxz-soxa-soxb	1	1	1	1	4.0	1.0
soxy-soxz-soxa-soxx-soxb-soxc	1	1	1	1	6.0	1.0
soxz-soxy-soxx-soxy-soxz-soxa-soxb	1	1	1	1	7.0	0.7142857142857143
soxz-soxz	1	1	1	1	2.0	1.0
