gene_a	gene_b	observed_adjacent_clusters	null_mean	null_q025	null_q975	enrichment_ratio	permutation_p_greater	observed_adjacent_genomes	genome_null_mean	genome_null_q025	genome_null_q975	genome_enrichment_ratio	genome_permutation_p_greater
soxa	soxb	260	150.8631	132.0	170.0	1.7234167931058024	9.999000099990002e-05	249	148.0395	130.0	167.0	1.6819835246674029	9.999000099990002e-05
soxa	soxc	10	91.4109	76.0	107.0	0.1093961442235007	1.0	10	91.0257	76.0	106.0	0.10985908375326968	1.0
soxa	soxx	197	226.8554	206.0	248.0	0.8683945808651679	0.997000299970003	172	194.9834	177.0	213.0	0.8821263758863576	0.9944005599440056
soxa	soxy	25	161.2557	142.0	181.0	0.1550332794437654	1.0	24	154.6354	136.0	173.0	0.15520378904183646	1.0
soxa	soxz	465	201.0965	180.0	222.0	2.312322690847429	9.999000099990002e-05	396	178.6505	161.0	197.0	2.2166184813364644	9.999000099990002e-05
soxb	soxc	126	93.9128	79.0	110.0	1.3416701450707464	9.999000099990002e-05	126	93.7117	79.0	109.0	1.344549293204584	9.999000099990002e-05
soxb	soxx	143	149.7467	131.0	168.0	0.9549459186746686	0.7723227677232277	134	147.3136	129.0	165.0	0.9096240944488492	0.9277072292770723
soxb	soxy	1	150.879	133.0	170.0	0.006627827596948549	1.0	1	148.2659	130.0	167.0	0.006744639192154097	1.0
soxb	soxz	34	152.1015	133.0	171.0	0.22353494212746094	1.0	34	149.1659	131.0	167.0	0.2279341323988928	1.0
soxc	soxx	51	91.8441	77.0	107.0	0.5552887991716398	1.0	51	91.466	77.0	107.0	0.557584238952179	1.0
soxc	soxy	113	107.2535	91.0	123.0	1.0535786710923187	0.26017398260173985	113	106.8203	91.0	123.0	1.0578513634580693	0.24197580241975802
soxc	soxz	3	107.5603	92.0	124.0	0.027891331653035555	1.0	3	107.2377	91.0	124.0	0.027975236320808818	1.0
soxx	soxy	276	159.7473	140.0	180.0	1.7277287315654162	9.999000099990002e-05	262	153.7513	135.0	172.0	1.7040506324174172	9.999000099990002e-05
soxx	soxz	61	199.6062	179.0	221.0	0.305601729805988	1.0	60	177.8595	160.0	196.0	0.3373449267539828	1.0
soxy	soxz	534	243.5328	223.0	264.0	2.1927231157363605	9.999000099990002e-05	427	205.0381	187.0	223.0	2.0825397816308286	9.999000099990002e-05
