gtdb_class	genomes	mean_hgt_recipient_fraction	mean_architecture_rarity	mean_abs_local_gc_deviation	mean_mobile_difference
	29		1.2273714565616323	0.010777149059694659	-0.2627873563218391
c__Alphaproteobacteria	152	0.2928490566037736	1.0437616416542745	0.010002383040701826	-0.12625
c__Aquificia	9	0.04475	1.5276316184072356	0.00731634999704133	0.03611111111111111
c__Campylobacteria	58	0.08254901960784314	1.214405490040563	0.010529454890938329	-0.17830459770114943
c__Chlorobiia	4	0.09266666666666667	0.9128231951020435	0.02787857754209439	-0.33125
c__Deinococci	8	0.030416666666666665	1.8483092311145939	0.008419378817267554	-0.46562499999999996
c__Gammaproteobacteria	164	0.16100260416666667	1.2689391299023132	0.01175804526653975	-0.1644512195121951
c__Magnetococcia	1	0.01	1.280886617142935	0.015482584903168872	-0.4666666666666666
c__Myxococcia	1	0.8616666666666667	0.9202193135785284	0.015592830043180033	-0.7
c__Vulcanimicrobiia	1	0.7200000000000001	0.8263148107101972	0.04099094637291514	-1.4500000000000002
