family	donor_class	recipient_class	terminal_edges	mean_sample_support	max_sample_support
soxa	c__Alphaproteobacteria	c__Alphaproteobacteria	65	0.18984615384615383	0.97
soxa	c__Alphaproteobacteria	c__Gammaproteobacteria	4	0.2225	0.86
soxa	c__Alphaproteobacteria	c__Vulcanimicrobiia	1	0.01	0.01
soxa	c__Campylobacteria	c__Campylobacteria	7	0.21857142857142858	0.89
soxa	c__Gammaproteobacteria	c__Alphaproteobacteria	1	0.01	0.01
soxa	c__Gammaproteobacteria	c__Gammaproteobacteria	24	0.19333333333333333	0.86
soxa	c__Gammaproteobacteria	c__Myxococcia	1	0.02	0.02
soxa	c__Myxococcia	c__Gammaproteobacteria	1	0.01	0.01
soxb	c__Alphaproteobacteria	c__Alphaproteobacteria	51	0.2235294117647059	0.9
soxb	c__Alphaproteobacteria	c__Gammaproteobacteria	2	0.19999999999999998	0.36
soxb	c__Alphaproteobacteria	c__Vulcanimicrobiia	1	0.43	0.43
soxb	c__Aquificia	c__Aquificia	1	0.93	0.93
soxb	c__Campylobacteria	c__Campylobacteria	8	0.14625000000000002	0.4
soxb	c__Campylobacteria	c__Gammaproteobacteria	3	0.12	0.22
soxb	c__Chlorobiia	c__Chlorobiia	2	0.305	0.31
soxb	c__Gammaproteobacteria	c__Alphaproteobacteria	2	0.2	0.39
soxb	c__Gammaproteobacteria	c__Campylobacteria	2	0.02	0.03
soxb	c__Gammaproteobacteria	c__Gammaproteobacteria	26	0.32538461538461544	0.88
soxb	c__Gammaproteobacteria	c__Myxococcia	2	0.08	0.08
soxb	c__Myxococcia	c__Gammaproteobacteria	2	0.07	0.08
soxb	c__Vulcanimicrobiia	c__Alphaproteobacteria	1	0.39	0.39
soxc	c__Alphaproteobacteria	c__Alphaproteobacteria	94	0.16968085106382977	0.94
soxc	c__Alphaproteobacteria	c__Gammaproteobacteria	5	0.248	0.46
soxc	c__Alphaproteobacteria	c__Vulcanimicrobiia	2	0.045	0.08
soxc	c__Campylobacteria	c__Campylobacteria	5	0.128	0.37
soxc	c__Gammaproteobacteria	c__Alphaproteobacteria	5	0.196	0.36
soxc	c__Gammaproteobacteria	c__Gammaproteobacteria	25	0.11960000000000001	0.92
soxc	c__Gammaproteobacteria	c__Myxococcia	3	0.016666666666666666	0.03
soxc	c__Myxococcia	c__Gammaproteobacteria	3	0.05000000000000001	0.07
soxc	c__Vulcanimicrobiia	c__Alphaproteobacteria	3	0.016666666666666666	0.03
soxc	c__Vulcanimicrobiia	c__Gammaproteobacteria	1	0.01	0.01
soxx	c__Alphaproteobacteria	c__Alphaproteobacteria	68	0.2325	0.94
soxx	c__Alphaproteobacteria	c__Gammaproteobacteria	7	0.15	0.47
soxx	c__Alphaproteobacteria	c__Myxococcia	1	0.01	0.01
soxx	c__Alphaproteobacteria	c__Vulcanimicrobiia	2	0.28500000000000003	0.46
soxx	c__Campylobacteria	c__Alphaproteobacteria	1	0.01	0.01
soxx	c__Campylobacteria	c__Campylobacteria	14	0.23	0.89
soxx	c__Gammaproteobacteria	c__Alphaproteobacteria	6	0.11833333333333335	0.34
soxx	c__Gammaproteobacteria	c__Campylobacteria	1	0.01	0.01
soxx	c__Gammaproteobacteria	c__Gammaproteobacteria	34	0.14764705882352944	0.89
soxx	c__Gammaproteobacteria	c__Myxococcia	1	0.01	0.01
soxx	c__Myxococcia	c__Alphaproteobacteria	1	0.01	0.01
soxx	c__Myxococcia	c__Gammaproteobacteria	1	0.02	0.02
soxx	c__Vulcanimicrobiia	c__Alphaproteobacteria	1	0.36	0.36
soxy	c__Alphaproteobacteria	c__Alphaproteobacteria	78	0.20500000000000002	0.95
soxy	c__Alphaproteobacteria	c__Gammaproteobacteria	4	0.2025	0.45
soxy	c__Alphaproteobacteria	c__Myxococcia	2	0.15000000000000002	0.2
soxy	c__Alphaproteobacteria	c__Vulcanimicrobiia	2	0.13	0.2
soxy	c__Aquificia	c__Aquificia	1	0.86	0.86
soxy	c__Campylobacteria	c__Campylobacteria	6	0.018333333333333333	0.06
soxy	c__Chlorobiia	c__Chlorobiia	2	0.345	0.62
soxy	c__Gammaproteobacteria	c__Alphaproteobacteria	5	0.16799999999999998	0.33
soxy	c__Gammaproteobacteria	c__Chlorobiia	1	0.08	0.08
soxy	c__Gammaproteobacteria	c__Gammaproteobacteria	31	0.1903225806451613	0.89
soxy	c__Gammaproteobacteria	c__Myxococcia	1	0.2	0.2
soxy	c__Myxococcia	c__Alphaproteobacteria	2	0.215	0.25
soxy	c__Myxococcia	c__Gammaproteobacteria	1	0.14	0.14
soxy	c__Vulcanimicrobiia	c__Alphaproteobacteria	2	0.195	0.21
soxz	c__Alphaproteobacteria	c__Alphaproteobacteria	88	0.18715909090909089	0.96
soxz	c__Alphaproteobacteria	c__Gammaproteobacteria	2	0.455	0.86
soxz	c__Alphaproteobacteria	c__Vulcanimicrobiia	3	0.08333333333333333	0.17
soxz	c__Campylobacteria	c__Campylobacteria	5	0.31999999999999995	0.74
soxz	c__Chlorobiia	c__Chlorobiia	2	0.34	0.63
soxz	c__Chlorobiia	c__Gammaproteobacteria	3	0.25333333333333335	0.74
soxz	c__Gammaproteobacteria	c__Alphaproteobacteria	1	0.06	0.06
soxz	c__Gammaproteobacteria	c__Chlorobiia	3	0.04	0.1
soxz	c__Gammaproteobacteria	c__Gammaproteobacteria	31	0.17387096774193547	0.96
soxz	c__Gammaproteobacteria	c__Myxococcia	1	0.52	0.52
soxz	c__Myxococcia	c__Gammaproteobacteria	1	0.31	0.31
soxz	c__Vulcanimicrobiia	c__Alphaproteobacteria	2	0.045	0.05
