gtdb_class	genomes	mean_hgt_recipient_fraction	mean_architecture_rarity	mean_abs_local_gc_deviation	mean_mobile_difference
	29		1.2273714565616323	0.010777149059694659	-0.2627873563218391
c__Alphaproteobacteria	152	0.29816194968553456	1.0437616416542745	0.010002383040701826	-0.12625
c__Aquificia	9	0.045	1.5276316184072356	0.00731634999704133	0.03611111111111111
c__Campylobacteria	58	0.08697385620915034	1.214405490040563	0.010529454890938329	-0.17830459770114943
c__Chlorobiia	4	0.13299999999999998	0.9128231951020435	0.02787857754209439	-0.33125
c__Deinococci	8	0.043541666666666666	1.8483092311145939	0.008419378817267554	-0.46562499999999996
c__Gammaproteobacteria	164	0.16414192708333333	1.2689391299023132	0.01175804526653975	-0.1644512195121951
c__Magnetococcia	1	0.0	1.280886617142935	0.015482584903168872	-0.4666666666666666
c__Myxococcia	1	0.8533333333333334	0.9202193135785284	0.015592830043180033	-0.7
c__Vulcanimicrobiia	1	0.6183333333333333	0.8263148107101972	0.04099094637291514	-1.4500000000000002
