architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	dominant_adversarial	raw_pooled	0.2	1	0.0	full_route_recovered	393	400	0.9825	0.9642771264063807	0.9929358717792461	0.1378583333333333	0.14
full	0.35	dominant_adversarial	raw_pooled	0.2	1	0.15	full_route_recovered	317	400	0.7925	0.7494106517701308	0.8311990533268817	0.07530833333333328	0.0766666666666666
full	0.35	dominant_adversarial	raw_pooled	0.2	1	0.3	full_route_recovered	126	400	0.315	0.2697447150566541	0.3630184677765685	0.02628333333333331	0.0266666666666666
full	0.35	dominant_adversarial	raw_pooled	0.2	5	0.0	full_route_recovered	389	400	0.9725	0.9513284510919109	0.9861938697657968	0.13712482592919703	0.1389343293254284
full	0.35	dominant_adversarial	raw_pooled	0.2	5	0.15	full_route_recovered	364	400	0.91	0.8775801131096775	0.9361685268073168	0.08127505673968402	0.0833333333333333
full	0.35	dominant_adversarial	raw_pooled	0.2	5	0.3	full_route_recovered	283	400	0.7075	0.6602475264786822	0.7516510106800504	0.03690418429858409	0.03796798189124275
full	0.35	dominant_adversarial	raw_pooled	0.2	15	0.0	full_route_recovered	392	400	0.98	0.9609737232883799	0.9913268296308817	0.13766856465531535	0.13965089689909305
full	0.35	dominant_adversarial	raw_pooled	0.2	15	0.15	full_route_recovered	385	400	0.9625	0.9389030233760993	0.9788623252156511	0.08183142589107036	0.08206936794070871
full	0.35	dominant_adversarial	raw_pooled	0.2	15	0.3	full_route_recovered	337	400	0.8425	0.8030364924328849	0.876800450764236	0.040354705995022805	0.040345971232308805
full	0.35	dominant_adversarial	raw_pooled	0.5	1	0.0	full_route_recovered	69	400	0.1725	0.13676558500065306	0.21316385723663298	0.0033750000000000013	0.0033333333333332
full	0.35	dominant_adversarial	raw_pooled	0.5	1	0.15	full_route_recovered	76	400	0.19	0.15272113146045965	0.23193784398353853	-7.500000000000062e-05	0.0
full	0.35	dominant_adversarial	raw_pooled	0.5	1	0.3	full_route_recovered	29	400	0.0725	0.04908910142887542	0.10246429058218622	-0.00560833333333333	-0.00333333333333325
full	0.35	dominant_adversarial	raw_pooled	0.5	5	0.0	full_route_recovered	84	400	0.21	0.17110748540972526	0.2532445503863589	0.003589244169627247	0.00198026790475885
full	0.35	dominant_adversarial	raw_pooled	0.5	5	0.15	full_route_recovered	46	400	0.115	0.08543574724338862	0.15040266262311575	-0.0003831685592277517	0.0
full	0.35	dominant_adversarial	raw_pooled	0.5	5	0.3	full_route_recovered	53	400	0.1325	0.10085046466505712	0.1697068675794775	-0.0013317838707671242	-0.0006598500305215499
full	0.35	dominant_adversarial	raw_pooled	0.5	15	0.0	full_route_recovered	81	400	0.2025	0.1641947725604529	0.2452721286199188	0.0028719632992331686	0.0015505978252229
full	0.35	dominant_adversarial	raw_pooled	0.5	15	0.15	full_route_recovered	66	400	0.165	0.12996910728429584	0.2050769106331925	-0.0004641849003512073	-0.00044126337538700003
full	0.35	dominant_adversarial	raw_pooled	0.5	15	0.3	full_route_recovered	51	400	0.1275	0.09642507330436255	0.16421205843734557	0.0004176891017627954	-0.0013515027934862
full	0.35	dominant_adversarial	raw_pooled	0.85	1	0.0	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.16571666666666662	-0.1666666666666666
full	0.35	dominant_adversarial	raw_pooled	0.85	1	0.15	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.0986583333333333	-0.0999999999999999
full	0.35	dominant_adversarial	raw_pooled	0.85	1	0.3	full_route_recovered	8	400	0.02	0.00867317036911831	0.03902627671162005	-0.05303333333333329	-0.0533333333333333
full	0.35	dominant_adversarial	raw_pooled	0.85	5	0.0	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.1669324065868812	-0.1695761020332217
full	0.35	dominant_adversarial	raw_pooled	0.85	5	0.15	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.09891406755745624	-0.10068039805600554
full	0.35	dominant_adversarial	raw_pooled	0.85	5	0.3	full_route_recovered	1	400	0.0025	6.32925169048572e-05	0.013849769962013272	-0.049554524775012314	-0.04991772763914165
full	0.35	dominant_adversarial	raw_pooled	0.85	15	0.0	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.1633067826517229	-0.1603148640139005
full	0.35	dominant_adversarial	raw_pooled	0.85	15	0.15	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.09709732125958778	-0.09706356062683055
full	0.35	dominant_adversarial	raw_pooled	0.85	15	0.3	full_route_recovered	0	400	0.0	0.0	0.00917980458366526	-0.048253948127149233	-0.04792824005777205
full	0.35	dominant_adversarial	source_equal	0.2	1	0.0	full_route_recovered	396	400	0.99	0.9745951990926638	0.9972688040287571	0.1380070376183968	0.14109344480680092
full	0.35	dominant_adversarial	source_equal	0.2	1	0.15	full_route_recovered	312	400	0.78	0.7361566841724916	0.8196440427479089	0.0751005070684875	0.0749068362102473
full	0.35	dominant_adversarial	source_equal	0.2	1	0.3	full_route_recovered	126	400	0.315	0.2697447150566541	0.3630184677765685	0.026142655722227678	0.0262248228133318
full	0.35	dominant_adversarial	source_equal	0.2	5	0.0	full_route_recovered	390	400	0.975	0.95450572070122	0.9879478798868141	0.13693026842513037	0.1390351499241492
