family	assembly_accession	support_fixed	support_mfp	gtdb_order	module_completeness	consensus_min	consensus_mean	stable_both
soxa	GCF_002795845.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_024347195.1	0.0	0.0	o__Pseudomonadales	3	0.0	0.0	0.0
soxa	GCF_024347215.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_008630635.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_001854125.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_017301335.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_009650135.1	0.41	0.32	o__Pseudomonadales	4	0.32	0.365	0.0
soxa	GCF_033723955.1	0.89	0.88	o__Pseudomonadales	4	0.88	0.885	1.0
soxa	GCF_009910365.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_000153125.2	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_045689245.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_045689235.1	0.0	0.0	o__Pseudomonadales	4	0.0	0.0	0.0
soxa	GCF_001305575.3	0.42	0.49	o__Beggiatoales	3	0.42	0.45499999999999996	0.0
soxa	GCF_000968535.2	0.62	0.62	o__Methylococcales	4	0.62	0.62	1.0
soxa	GCF_000828615.1	0.89	0.92	o__Chromatiales	3	0.89	0.905	1.0
soxa	GCF_009497875.2	0.87	0.95	o__Chromatiales	3	0.87	0.9099999999999999	1.0
soxa	GCF_000227745.2	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxa	GCF_000025485.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxa	GCF_011290485.1	0.0	0.0	o__Chromatiales	3	0.0	0.0	0.0
soxa	GCF_000224005.2	0.13	0.06	o__Chromatiales	3	0.06	0.095	0.0
soxa	GCF_033954455.1	0.37	0.37	o__Chromatiales	3	0.37	0.37	0.0
soxa	GCF_013343005.1	0.23	0.25	o__GCF-013343005	3	0.23	0.24	0.0
soxa	GCF_034479635.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxa	GCF_000024765.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxa	GCF_001663815.1	0.0	0.0	o__Halothiobacillales	4	0.0	0.0	0.0
soxa	GCF_002215215.1	0.92	0.89	o__Granulosicoccales	4	0.89	0.905	1.0
soxa	GCF_000227685.2	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxa	GCF_000321415.2	0.0	0.01	o__Ectothiorhodospirales	3	0.0	0.005	0.0
soxa	GCF_047222355.1	0.0	0.0	o__Ectothiorhodospirales	3	0.0	0.0	0.0
soxa	GCF_000015585.1	0.39	0.53	o__Nitrococcales	3	0.39	0.46	0.0
soxa	GCF_050749815.1	0.87	0.9	o__Xanthomonadales	4	0.87	0.885	1.0
