assembly_accession	cluster_id	window_bp	observed_mobile_count	control_mobile_count_mean	observed_mobile_present	control_mobile_present_mean	controls	count_difference	presence_difference
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	20000	0	0.25	False	0.2	20	-0.25	-0.2
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	20000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	5000	0	0.45	False	0.3	20	-0.45	-0.3
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	10000	0	0.7	False	0.45	20	-0.7	-0.45
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	20000	0	1.05	False	0.5	20	-1.05	-0.5
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	5000	1	0.05	True	0.05	20	0.95	0.95
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	10000	1	0.1	True	0.1	20	0.9	0.9
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	20000	1	0.6	True	0.35	20	0.4	0.65
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	5000	1	0.35	True	0.3	20	0.65	0.7
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	10000	1	0.4	True	0.3	20	0.6	0.7
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	20000	2	0.8	True	0.6	20	1.2	0.4
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
