assembly_accession	cluster_id	window_bp	span_abs_gc_difference	local_abs_gc_difference	observed_span_abs_gc_deviation	observed_local_abs_gc_deviation	controls
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	5000	-0.018691597154174424	-0.0061620551101608575	0.0020073881896812695	0.008318572488536957	20
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	10000	-0.018691597154174424	-0.0031557238131398766	0.0020073881896812695	0.007000612005946261	20
GCF_000006985.1	GCF_000006985.1:NC_002932.3:sox_cluster_1	20000	-0.018691597154174424	0.011615431988766389	0.0020073881896812695	0.02122251998091207	20
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	5000	0.015147501628080397	-0.01151690046201485	0.03378132571436582	0.00012082320047734907	20
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	10000	0.015147501628080397	-0.008685750139000562	0.03378132571436582	0.00043432445780844375	20
GCF_000008625.1	GCF_000008625.1:NC_000918.1:sox_cluster_1	20000	0.015147501628080397	-0.002762496763273006	0.03378132571436582	0.004655531299714244	20
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	5000	-0.01947560749119385	-0.015756055641066573	0.0028994706983206386	0.0015205293633708816	20
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	10000	-0.01947560749119385	-0.013996166298474088	0.0028994706983206386	0.0018289981855447168	20
GCF_000011965.2	GCF_000011965.2:NC_003911.12:sox_cluster_1	20000	-0.01947560749119385	-0.0032733127013559126	0.0028994706983206386	0.008140592832658888	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	5000	-0.00843452330136012	-0.011359925970021705	0.01431579355542062	0.0006970147749701949	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	10000	-0.00843452330136012	-0.00244524296596097	0.01431579355542062	0.007430175303823505	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_1	20000	-0.00843452330136012	-0.0023795262498917	0.01431579355542062	0.003770465334480777	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	5000	0.01949544096211735	0.00929010201482452	0.03232654012312175	0.017374435337191352	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	10000	0.01949544096211735	0.020092588136206225	0.03232654012312175	0.028430989322409506	20
GCF_000012965.1	GCF_000012965.1:NC_007575.1:sox_cluster_2	20000	0.01949544096211735	0.01684112410767202	0.03232654012312175	0.023239223293928246	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	5000	-0.002410633839917664	-0.011779581242224595	0.025406267568533036	0.008139730692515612	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	10000	-0.002410633839917664	-0.0050197542960401294	0.025406267568533036	0.015606211836308281	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_1	20000	-0.002410633839917664	-0.0023492273600895118	0.025406267568533036	0.016149211707411237	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	5000	-0.012324218620939308	-0.007409689860355867	0.011865991297089762	0.009963983084596117	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	10000	-0.012324218620939308	-0.005041502841160961	0.011865991297089762	0.011137265403223018	20
GCF_000013885.1	GCF_000013885.1:NC_007964.1:sox_cluster_2	20000	-0.012324218620939308	-0.01294185404250726	0.011865991297089762	0.004150775849859123	20
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	5000	0.02440496169901617	-0.003203481422400699	0.04217397174205778	0.00892380201896642	20
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	10000	0.02440496169901617	-0.005346185271422501	0.04217397174205778	0.005299267982260936	20
GCF_000014025.1	GCF_000014025.1:NC_009850.1:sox_cluster_1	20000	0.02440496169901617	-0.006135449897696124	0.04217397174205778	0.0005086210756016785	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	5000	-0.005770496262183697	-0.008156630386913766	0.022339074215568133	0.009490467682028991	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	10000	-0.005770496262183697	-0.002162963505877663	0.022339074215568133	0.01233346266287283	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_1	20000	-0.005770496262183697	-0.0020030451419228434	0.022339074215568133	0.009389356529329707	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	5000	-0.013108168794041452	0.027633429810266386	0.02775366633904719	0.047843073160162175	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	10000	-0.013108168794041452	0.02842263987808099	0.02775366633904719	0.04464669067908661	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_2	20000	-0.013108168794041452	0.0073816946334964	0.02775366633904719	0.016639294736183974	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	5000	-0.027694650926291975	-0.007566544009455755	0.002837673947361119	0.006680724746198741	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	10000	-0.027694650926291975	-0.0005914305474767733	0.002837673947361119	0.008902670203287166	20
GCF_000014865.1	GCF_000014865.1:NC_008576.1:sox_cluster_3	20000	-0.027694650926291975	-0.0011929526681499826	0.002837673947361119	0.008582006472224513	20
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	5000	-0.025695215807051457	-0.02112171090536303	0.0010247182807349153	0.0009000064727181512	20
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	10000	-0.025695215807051457	-0.013165644382620894	0.0010247182807349153	0.008681648339472936	20
GCF_000015585.1	GCF_000015585.1:NC_008789.1:sox_cluster_1	20000	-0.025695215807051457	-0.006200948824211794	0.0010247182807349153	0.011434777192901535	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	5000	-0.01928327277296843	-0.0020053640432039386	0.008975744496803384	0.015115446250560716	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	10000	-0.01928327277296843	-0.005148771200659807	0.008975744496803384	0.0074986603184051814	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_1	20000	-0.01928327277296843	-0.0033335708196729264	0.008975744496803384	0.006570339844163664	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	5000	-0.0020120004383854364	-0.010544854144590648	0.03608675262048833	0.00888880767951139	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	10000	-0.0020120004383854364	-0.0029920346918826334	0.03608675262048833	0.012974249387770254	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_2	20000	-0.0020120004383854364	0.0035813368562197688	0.03608675262048833	0.017419632084742287	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	5000	-0.002422353973739022	-0.009795640033552672	0.02128596698636931	0.007028762425812518	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	10000	-0.002422353973739022	-0.009906420219578821	0.02128596698636931	0.005081103846244495	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_3	20000	-0.002422353973739022	-0.005691215102863684	0.02128596698636931	0.006566549743197592	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	5000	-0.012248342749395786	0.00510647430847877	0.010457651944905777	0.01919269654018463	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	10000	-0.012248342749395786	-0.0003061586108688841	0.010457651944905777	0.011066065398471436	20
GCF_000015725.1	GCF_000015725.1:NC_008825.1:sox_cluster_4	20000	-0.012248342749395786	0.007988293718841544	0.010457651944905777	0.016574060207455443	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	5000	-0.004459016941190355	0.009123825988566953	0.00752471695650736	0.018669060339361554	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	10000	-0.004459016941190355	0.007979193946707722	0.00752471695650736	0.015840573827153426	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_1	20000	-0.004459016941190355	-2.3657057051326703e-05	0.00752471695650736	0.007603083602962135	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	5000	0.0012356559128235578	0.0013871002806447514	0.015146288852671719	0.010911432996689563	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	10000	0.0012356559128235578	0.0029702851848647767	0.015146288852671719	0.012840985314043318	20
GCF_000016345.1	GCF_000016345.1:NC_009379.1:sox_cluster_2	20000	0.0012356559128235578	-0.005338152667495391	0.015146288852671719	0.004566389926347669	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	5000	-0.015668229763629603	-0.010122636321113865	0.007264313978837422	0.008185097967313593	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	10000	-0.015668229763629603	-0.0008011686935694596	0.007264313978837422	0.016456053029470397	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_1	20000	-0.015668229763629603	0.011252056452729798	0.007264313978837422	0.02571587407878384	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	5000	-0.020144613118062017	-0.014970190633423258	0.016881596884892658	0.0095756883275947	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	10000	-0.020144613118062017	-0.019751760255179236	0.016881596884892658	0.0003479186921639954	20
GCF_000018145.1	GCF_000018145.1:NC_009952.1:sox_cluster_2	20000	-0.020144613118062017	-0.014013786588544113	0.016881596884892658	0.001930401686328742	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	5000	0.026036269877445905	-0.0028132184639947156	0.050490866428460124	0.019181167857399317	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	10000	0.026036269877445905	0.004655453257600728	0.050490866428460124	0.020188020621750957	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_1	20000	0.026036269877445905	0.006894163212515259	0.050490866428460124	0.01798457894322092	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	5000	0.00494005394971872	-0.01572555353275936	0.02420307818402101	0.0007961877033905163	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	10000	0.00494005394971872	-0.010639587289843322	0.02420307818402101	0.005357336871890439	20
GCF_000019785.1	GCF_000019785.1:NC_010524.1:sox_cluster_2	20000	0.00494005394971872	-0.007592583708337602	0.02420307818402101	0.004820953128827132	20
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	5000	0.013207770124394813	0.024395622258707044	0.028065957774445538	0.03566669138897316	20
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	10000	0.013207770124394813	0.0073446287132236995	0.028065957774445538	0.019323739808299267	20
GCF_000019945.1	GCF_000019945.1:NC_010725.1:sox_cluster_1	20000	0.013207770124394813	0.002839466121622175	0.028065957774445538	0.015054898991697208	20
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	5000	-0.0096270486925499	0.01931101962622277	0.013270469689803055	0.03197173881567272	20
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	10000	-0.0096270486925499	-0.002740479218704328	0.013270469689803055	0.007616207089975902	20
GCF_000020505.1	GCF_000020505.1:NC_011027.1:sox_cluster_1	20000	-0.0096270486925499	-0.0030545736205765174	0.013270469689803055	0.005765080136188039	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	5000	0.025156958829972452	0.016851884921914303	0.059245389998713316	0.03959120737522309	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	10000	0.025156958829972452	0.01991792176336491	0.059245389998713316	0.0353471471565186	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_1	20000	0.025156958829972452	0.011113181852158871	0.059245389998713316	0.020345597132754523	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	5000	-0.0021745029050844883	0.015229995617232924	0.020034127790768907	0.03182799854998902	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	10000	-0.0021745029050844883	0.011736979364062308	0.020034127790768907	0.026851283593802566	20
GCF_000020645.1	GCF_000020645.1:NC_011060.1:sox_cluster_2	20000	-0.0021745029050844883	0.00018665800117512177	0.020034127790768907	0.010639035003403186	20
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	5000	0.02674776910119563	0.014671876215483498	0.040320555945170755	0.024755225812735537	20
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	10000	0.02674776910119563	-0.0006980424264662749	0.040320555945170755	0.006663858856351734	20
GCF_000021545.1	GCF_000021545.1:NC_012438.1:sox_cluster_1	20000	0.02674776910119563	-0.0007132209658376298	0.040320555945170755	0.005879049833461658	20
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	5000	0.022972618357095034	-0.0029097174079296324	0.03298830323176566	0.004568797628077603	20
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	10000	0.022972618357095034	-0.006402823913615274	0.03298830323176566	0.00035385894357370384	20
GCF_000021565.1	GCF_000021565.1:NC_012440.1:sox_cluster_1	20000	0.022972618357095034	-0.0014999997212482824	0.03298830323176566	0.004067087246386603	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	5000	-0.03140179880498471	-0.005671905174058206	0.0008713239257550631	0.018191795665785215	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	10000	-0.03140179880498471	0.00023485171761017387	0.0008713239257550631	0.02096615052567552	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_1	20000	-0.03140179880498471	0.03016786791549992	0.0008713239257550631	0.0425709665550128	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	5000	0.08169073422614467	0.05909162792764004	0.10915361865907636	0.07244922127199704	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	10000	0.08169073422614467	0.026831760076709205	0.10915361865907636	0.038164030969660034	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_2	20000	0.08169073422614467	-0.005530147696230775	0.10915361865907636	0.0065807544111256	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	5000	-0.02088217828504247	-0.018349864281493367	0.005553521206578704	0.004716051763536511	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	10000	-0.02088217828504247	-0.01346376202409864	0.005553521206578704	0.0050140132049762975	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_3	20000	-0.02088217828504247	-0.010680600691391451	0.005553521206578704	0.007179583933050515	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	5000	-0.01003977975293685	0.0016971209455357405	0.009060318859182681	0.016909300987838494	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	10000	-0.01003977975293685	-0.006310955245813083	0.009060318859182681	0.009077366625490968	20
GCF_000021985.1	GCF_000021985.1:NC_011901.1:sox_cluster_4	20000	-0.01003977975293685	-0.0030149486718336503	0.009060318859182681	0.009311979344230226	20
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	5000	-0.002289635148838909	0.0009329484218990435	0.017699056006513114	0.016735736175661375	20
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	10000	-0.002289635148838909	-0.003806386399414774	0.017699056006513114	0.009255074578641276	20
GCF_000022145.1	GCF_000022145.1:NC_011891.1:sox_cluster_1	20000	-0.002289635148838909	-0.005379189953642593	0.017699056006513114	0.0026797426932886337	20
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	5000	-0.01855056505177268	-0.01320747504235032	0.0019517632053595024	0.0008659259656634832	20
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	10000	-0.01855056505177268	-0.010333814792466017	0.0019517632053595024	0.0013854929966068408	20
GCF_000024425.1	GCF_000024425.1:NC_013946.1:sox_cluster_1	20000	-0.01855056505177268	-0.006723180898480135	0.0019517632053595024	0.0014545758822667176	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	5000	-0.0022164537976467696	-0.016976881315010166	0.026348674097192548	0.0006606072582920897	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	10000	-0.0022164537976467696	-0.015073053145493131	0.026348674097192548	0.0006152057674105871	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_1	20000	-0.0022164537976467696	-0.01121608497151771	0.026348674097192548	0.0018752469822360673	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	5000	0.0068668529018343916	-0.002456424964140774	0.022896306965768276	0.0100906931705248	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	10000	0.0068668529018343916	-0.005748596967165925	0.022896306965768276	0.0057196479316016235	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_2	20000	0.0068668529018343916	-0.007349258478312426	0.022896306965768276	0.003001728631196743	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	5000	0.010228533636767284	-0.00853272797676991	0.04473833873309874	0.011659961493251436	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	10000	0.010228533636767284	-0.002468663909410462	0.04473833873309874	0.014781598355533165	20
GCF_000024765.1	GCF_000024765.1:NC_013422.1:sox_cluster_3	20000	0.010228533636767284	-0.000812187593049668	0.04473833873309874	0.014552368486598466	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	5000	-0.033293298763755384	-0.016390476954027178	0.00840944969723545	0.013492277412075926	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	10000	-0.033293298763755384	-0.005440214151905698	0.00840944969723545	0.015385630382049098	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_1	20000	-0.033293298763755384	-0.000802852415817129	0.00840944969723545	0.016562313106306292	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	5000	-0.018785622504746476	-0.020425887441897113	0.0067472371755377125	0.00091030776295975	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	10000	-0.018785622504746476	-0.017113479711788317	0.0067472371755377125	0.001772434454325178	20
GCF_000025485.1	GCF_000025485.1:NC_013851.1:sox_cluster_2	20000	-0.018785622504746476	-0.014698265980407688	0.0067472371755377125	0.00016911539200981096	20
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	5000	-0.008065355250659174	-0.017181428272865125	0.020566067674242017	0.009481542117596053	20
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	10000	-0.008065355250659174	-0.0089189574904416	0.020566067674242017	0.012356202818972317	20
GCF_000025605.1	GCF_000025605.1:NC_013894.1:sox_cluster_1	20000	-0.008065355250659174	-0.0015705753395262312	0.020566067674242017	0.012532521086904336	20
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	5000	0.009847449306095917	0.016701423186701453	0.02898058388062663	0.03563201381597769	20
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	10000	0.009847449306095917	0.011499729278329363	0.02898058388062663	0.027253151177668578	20
GCF_000025705.1	GCF_000025705.1:NC_013959.1:sox_cluster_1	20000	0.009847449306095917	0.012634748871162477	0.02898058388062663	0.0236822866638855	20
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	5000	0.00026223451341467197	-0.003085633449110525	0.015815350216732194	0.010430282609442343	20
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	10000	0.00026223451341467197	-0.0004934709687480831	0.015815350216732194	0.011305670348327745	20
GCF_000069785.1	GCF_000069785.1:NC_010528.1:sox_cluster_1	20000	0.00026223451341467197	0.002631652712647675	0.015815350216732194	0.012299094569838909	20
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	5000	0.015007943219345427	0.0016987813807064155	0.039440839059612376	0.02036969997656135	20
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	10000	0.015007943219345427	0.007443026481154203	0.039440839059612376	0.024338895215185397	20
GCF_000069785.1	GCF_000069785.1:NC_010530.1:sox_cluster_2	20000	0.015007943219345427	0.013287834278791943	0.039440839059612376	0.025338928815525352	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	5000	-0.003322610355352368	-0.0010127808961587826	0.012147993640815091	0.01406751075787549	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	10000	-0.003322610355352368	0.013340705390864033	0.012147993640815091	0.02778347523571878	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_1	20000	-0.003322610355352368	0.025660624043235165	0.012147993640815091	0.038377348072219375	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	5000	0.021008777009639167	0.015982598526183833	0.05287243838178646	0.03107115778788816	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	10000	0.021008777009639167	0.006830980356036553	0.05287243838178646	0.01954974007663246	20
GCF_000083545.1	GCF_000083545.1:NC_012988.1:sox_cluster_2	20000	0.021008777009639167	-0.009862882514429355	0.05287243838178646	0.0017875197998734604	20
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	5000	0.0029393374735269652	-0.003442062801618484	0.016953958583835527	0.006209441560489304	20
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	10000	0.0029393374735269652	-0.0017585748229874242	0.016953958583835527	0.005099566018683999	20
GCF_000091545.1	GCF_000091545.1:NC_006461.1:sox_cluster_1	20000	0.0029393374735269652	-0.0031592252558217794	0.016953958583835527	0.001107506261314617	20
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	5000	0.003250378824751493	0.015164076758230838	0.0472836417516076	0.036290946260040036	20
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	10000	0.003250378824751493	0.015369019578351305	0.0472836417516076	0.03124378050942611	20
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_1	20000	0.003250378824751493	0.02359023481155086	0.0472836417516076	0.03601698664933606	20
GCF_000092125.1	GCF_000092125.1:NC_014213.1:sox_cluster_2	5000	-0.0018703773768851573	-0.003642747169310623	0.022203284137974788	0.01721720627976675	20
