family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	donor_class	donor_order	recipient_class	recipient_order
soxa	GCF_001889605.1	GCF_900231165.1	True	True	32	0.32	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_029953595.1	GCF_008824185.1	True	True	89	0.89	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_040580765.1	GCF_034555965.2	True	True	18	0.18	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_900231165.1	GCF_000967425.1	True	True	33	0.33	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000015585.1	GCF_001305575.3	True	True	23	0.23	c__Gammaproteobacteria	o__Nitrococcales	c__Gammaproteobacteria	o__Beggiatoales
soxa	GCF_040409955.1	GCF_039724765.1	True	True	87	0.87	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_002222655.1	GCF_023734135.1	True	True	84	0.84	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_045277565.1	GCF_003544895.1	True	True	78	0.78	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_029953595.1	GCF_014126615.1	True	True	91	0.91	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_021049305.1	GCF_000015725.1	True	True	87	0.87	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_000297055.2	GCF_000025705.1	True	True	55	0.55	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_003008555.2	GCF_008728195.1	True	True	92	0.92	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_018282095.1	GCF_024662015.1	True	True	66	0.66	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Thalassobaculales
soxa	GCF_003008555.2	GCF_022788655.1	True	True	90	0.9	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_029853695.1	GCF_026191725.2	True	True	43	0.43	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_001305595.1	GCF_040269895.1	True	True	38	0.38	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000192745.1	GCF_003966715.1	True	True	5	0.05	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000967425.1	GCF_001889605.1	True	True	7	0.07	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000219215.1	GCF_001598055.1	True	True	31	0.31	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_019973615.1	GCF_000215705.1	True	True	87	0.87	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_002865605.1	GCF_001620265.1	True	True	35	0.35	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000967425.1	GCF_900231165.1	True	True	49	0.49	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_026191725.2	GCF_029853695.1	True	True	34	0.34	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_012932215.1	GCF_032842945.2	True	True	27	0.27	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_012932215.1	GCF_044772865.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_016807805.1	GCF_000143145.1	True	True	64	0.64	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_021044585.1	GCF_039645995.1	True	True	28	0.28	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	GCF_044772865.1	GCF_047715485.1	True	True	8	0.08	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000025705.1	GCF_000297055.2	True	True	10	0.1	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_032842945.2	GCF_012932215.1	True	True	23	0.23	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_040269895.1	GCF_001305595.1	True	True	48	0.48	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Azospirillales
soxa	GCF_047715485.1	GCF_032842945.2	True	True	7	0.07	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_034555965.2	GCF_040580765.1	True	True	19	0.19	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_047715485.1	GCF_044772865.1	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001723605.1	GCF_000186245.1	True	True	8	0.08	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	GCF_039645995.1	GCF_021044585.1	True	True	29	0.29	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	GCF_000224005.2	GCF_033954455.1	True	True	37	0.37	c__Gammaproteobacteria	o__Chromatiales	c__Gammaproteobacteria	o__Chromatiales
soxa	GCF_033954455.1	GCF_000224005.2	True	True	13	0.13	c__Gammaproteobacteria	o__Chromatiales	c__Gammaproteobacteria	o__Chromatiales
soxa	GCF_000018145.1	GCF_016806125.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000186245.1	GCF_001723605.1	True	True	8	0.08	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
