family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	donor_class	donor_order	recipient_class	recipient_order
soxa	GCF_029318635.1	node_240	True	False	36	0.36	c__Alphaproteobacteria	o__Rhodospirillales		
soxa	node_24	node_29	False	False	13	0.13				
soxa	GCF_001889605.1	GCF_900231165.1	True	True	32	0.32	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_1	GCF_016653635.2	False	True	53	0.53			c__Alphaproteobacteria	o__Azospirillales
soxa	node_52	node_61	False	False	9	0.09				
soxa	GCF_025857195.1	node_145	True	False	11	0.11	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_223	GCF_003544835.1	False	True	88	0.88			c__Campylobacteria	o__Campylobacterales
soxa	GCF_047549485.1	node_99	True	False	8	0.08	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_149	node_136	False	False	2	0.02				
soxa	node_136	node_156	False	False	1	0.01				
soxa	node_5	node_13	False	False	38	0.38				
soxa	GCF_000012965.1	node_194	True	False	74	0.74	c__Campylobacteria	o__Campylobacterales		
soxa	GCF_029953595.1	GCF_008824185.1	True	True	89	0.89	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_79	GCF_033723955.1	False	True	49	0.49			c__Gammaproteobacteria	o__Pseudomonadales
soxa	GCF_040580765.1	GCF_034555965.2	True	True	18	0.18	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_000013885.1	node_110	True	False	74	0.74	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_019973615.1	node_64	True	False	9	0.09	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_95	GCF_000069785.1	False	True	27	0.27			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_168	node_172	False	False	41	0.41				
soxa	GCF_002795845.1	node_237	True	False	91	0.91	c__Gammaproteobacteria	o__Pseudomonadales		
soxa	node_236	node_181	False	False	27	0.27				
soxa	node_158	GCF_032842945.2	False	True	10	0.1			c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_124	GCF_002215215.1	False	True	81	0.81			c__Gammaproteobacteria	o__Granulosicoccales
soxa	node_52	GCF_022811525.1	False	True	48	0.48			c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_025639885.1	node_157	True	False	88	0.88	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_18	node_109	False	False	40	0.4				
soxa	GCF_900231165.1	GCF_000967425.1	True	True	33	0.33	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_000015585.1	GCF_001305575.3	True	True	23	0.23	c__Gammaproteobacteria	o__Nitrococcales	c__Gammaproteobacteria	o__Beggiatoales
soxa	GCF_040409955.1	GCF_039724765.1	True	True	87	0.87	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_153	node_165	False	False	28	0.28				
soxa	node_231	node_236	False	False	12	0.12				
soxa	node_210	node_229	False	False	36	0.36				
soxa	node_49	node_104	False	False	1	0.01				
soxa	GCF_047549485.1	node_81	True	False	72	0.72	c__Gammaproteobacteria	o__Burkholderiales		
soxa	node_217	node_211	False	False	8	0.08				
soxa	node_233	node_49	False	False	34	0.34				
soxa	node_18	node_182	False	False	62	0.62				
soxa	GCF_002222655.1	GCF_023734135.1	True	True	84	0.84	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxa	GCF_009650135.1	node_23	True	False	19	0.19	c__Gammaproteobacteria	o__Pseudomonadales		
