assembly_accession	n_cds	n_sox_hits	n_excluded_pseudogene_or_partial_sox_hits	n_distinct_sox_genes	sox_genes	n_mobile_features	sox_with_mobile_within_20kb	refseq_category	taxid	species_taxid	organism_name	assembly_level	group	genome_size	gc_percent	scaffold_count	contig_count	annotation_provider	annotation_date	ftp_path	gff_url	protein_url	genome_url	gtdb_accession	gtdb_lineage	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	has_soxB	has_carrier_YZ	has_cytochrome_AX	has_dehydrogenase_CD	module_completeness	module_class	gtdb_mapped
GCF_000006985.1	2036	5	0	5	soxa,soxb,soxx,soxy,soxz	12	0	reference genome	194439	1097	Chlorobaculum tepidum TLS	Complete Genome	bacteria	2154946	56.500000	1	1	NCBI RefSeq	2024-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1//_genomic.fna.gz	RS_GCF_000006985.1	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum	d__Bacteria	p__Bacteroidota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Chlorobaculum	s__Chlorobaculum tepidum	True	True	True	False	3	near_complete	True
GCF_000008625.1	1774	5	0	5	soxa,soxb,soxx,soxy,soxz	7	0	reference genome	224324	63363	Aquifex aeolicus VF5	Complete Genome	bacteria	1590791	43.500000	2	2	NCBI RefSeq	2025-05-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1//_genomic.fna.gz	RS_GCF_000008625.1	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Aquifex;s__Aquifex aeolicus	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Aquificaceae	g__Aquifex	s__Aquifex aeolicus	True	True	True	False	3	near_complete	True
GCF_000011965.2	4418	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	29	0	reference genome	246200	89184	Ruegeria pomeroyi DSS-3	Complete Genome	bacteria	4601048	64.000000	2	2	NCBI RefSeq	2025-04-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2//_genomic.fna.gz	RS_GCF_000011965.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_B;s__Ruegeria_B pomeroyi	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Ruegeria_B	s__Ruegeria_B pomeroyi	True	True	True	True	4	complete	True
GCF_000012965.1	2160	8	0	6	soxa,soxb,soxc,soxx,soxy,soxz	24	0	reference genome	326298	39766	Sulfurimonas denitrificans DSM 1251	Complete Genome	bacteria	2201561	34.500000	1	1	NCBI RefSeq	2025-05-27	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1//_genomic.fna.gz	RS_GCF_000012965.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas denitrificans	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonas denitrificans	True	True	True	True	4	complete	True
GCF_000013885.1	4876	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	205	6	reference genome	323097	912	Nitrobacter hamburgensis X14	Complete Genome	bacteria	5011522	61.500000	4	4	NCBI RefSeq	2025-05-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1//_genomic.fna.gz	RS_GCF_000013885.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Nitrobacter;s__Nitrobacter hamburgensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Nitrobacter	s__Nitrobacter hamburgensis	True	True	True	True	4	complete	True
GCF_000014025.1	2274	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	9	0	reference genome	367737	28197	Aliarcobacter butzleri RM4018	Complete Genome	bacteria	2341251	27.000000	1	1	NCBI RefSeq	2025-03-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1//_genomic.fna.gz	RS_GCF_000014025.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter butzleri	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter butzleri	True	True	True	True	4	complete	True
GCF_000014865.1	3803	11	0	5	soxa,soxb,soxx,soxy,soxz	144	0	reference genome	156889	1124597	Magnetococcus marinus MC-1	Complete Genome	bacteria	4719581	54.000000	1	1	NCBI RefSeq	2026-04-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1//_genomic.fna.gz	RS_GCF_000014865.1	d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetococcaceae;g__Magnetococcus;s__Magnetococcus marinus	d__Bacteria	p__Pseudomonadota	c__Magnetococcia	o__Magnetococcales	f__Magnetococcaceae	g__Magnetococcus	s__Magnetococcus marinus	True	True	True	False	3	near_complete	True
GCF_000015585.1	2471	4	0	4	soxa,soxb,soxy,soxz	27	0	reference genome	349124	1053	Halorhodospira halophila SL1	Complete Genome	bacteria	2678452	68.000000	1	1	NCBI RefSeq	2026-04-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/585/GCF_000015585.1_ASM1558v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/585/GCF_000015585.1_ASM1558v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/585/GCF_000015585.1_ASM1558v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/585/GCF_000015585.1_ASM1558v1//_genomic.fna.gz	RS_GCF_000015585.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Halorhodospira;s__Halorhodospira halophila	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nitrococcales	f__Halorhodospiraceae	g__Halorhodospira	s__Halorhodospira halophila	True	True	True	False	3	near_complete	True
GCF_000015725.1	4527	9	1	6	soxa,soxb,soxc,soxx,soxy,soxz	91	7	reference genome	420662	105560	Methylibium petroleiphilum PM1	Complete Genome	bacteria	4643639	69.000000	2	2	NCBI RefSeq	2025-08-18	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/725/GCF_000015725.1_ASM1572v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/725/GCF_000015725.1_ASM1572v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/725/GCF_000015725.1_ASM1572v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/725/GCF_000015725.1_ASM1572v1//_genomic.fna.gz	RS_GCF_000015725.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Methylibium;s__Methylibium petroleiphilum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Methylibium	s__Methylibium petroleiphilum	True	True	True	True	4	complete	True
GCF_000016345.1	2134	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	17	0	reference genome	312153	576611	Polynucleobacter asymbioticus QLW-P1DMWA-1	Complete Genome	bacteria	2159490	45.000000	1	1	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/345/GCF_000016345.1_ASM1634v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/345/GCF_000016345.1_ASM1634v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/345/GCF_000016345.1_ASM1634v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/345/GCF_000016345.1_ASM1634v1//_genomic.fna.gz	RS_GCF_000016345.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter asymbioticus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter asymbioticus	True	True	True	True	4	complete	True
