family	node	is_terminal_genome	S_count	SL_count	D_count	T_count	TL_count	L_count	mean_S_events_per_sample	mean_SL_events_per_sample	mean_D_events_per_sample	mean_T_events_per_sample	mean_TL_events_per_sample	mean_L_events_per_sample	transfer_recipient_sample_fraction
soxa	GCF_002795845.1	True	100	0	0	100	0	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
soxa	GCF_024347195.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_024347215.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_008630635.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001854125.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_017301335.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_009650135.1	True	100	0	0	30	0	0	1.0	0.0	0.0	0.3	0.0	0.0	0.41
soxa	GCF_033723955.1	True	100	0	0	2	0	0	1.0	0.0	0.0	0.02	0.0	0.0	0.89
soxa	GCF_009910365.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000153125.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_045689245.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_045689235.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001305575.3	True	100	0	0	26	0	0	1.0	0.0	0.0	0.26	0.0	0.0	0.42
soxa	GCF_000968535.2	True	100	0	0	29	0	0	1.0	0.0	0.0	0.29	0.0	0.0	0.62
soxa	GCF_000828615.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.89
soxa	GCF_009497875.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.87
soxa	GCF_000227745.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000025485.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_011290485.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000224005.2	True	100	0	0	51	0	0	1.0	0.0	0.0	0.51	0.0	0.0	0.13
soxa	GCF_033954455.1	True	100	0	0	13	0	0	1.0	0.0	0.0	0.13	0.0	0.0	0.37
soxa	GCF_013343005.1	True	100	0	0	57	0	0	1.0	0.0	0.0	0.57	0.0	0.0	0.23
soxa	GCF_034479635.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000024765.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001663815.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_002215215.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.92
soxa	GCF_000227685.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000321415.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_047222355.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000015585.1	True	100	0	0	21	0	0	1.0	0.0	0.0	0.21	0.0	0.0	0.39
soxa	GCF_050749815.1	True	100	0	0	7	0	0	1.0	0.0	0.0	0.07	0.0	0.0	0.87
soxa	GCF_004786015.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.02
soxa	GCF_002355735.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_002355415.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_035621355.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003967275.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_009938015.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_009937995.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000297055.2	True	100	0	0	72	0	0	1.0	0.0	0.0	0.72	0.0	0.0	0.1
soxa	GCF_000025705.1	True	100	0	0	12	0	0	1.0	0.0	0.0	0.12	0.0	0.0	0.55
soxa	GCF_003966565.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_004323595.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_002872475.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003574215.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_010983895.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_017309585.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_020510565.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_020510525.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_008274805.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_045016065.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_015689335.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_900130075.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_007954405.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003008575.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_033100095.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.0
soxa	GCF_014395975.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.01
soxa	GCF_014489595.1	True	100	0	0	2	0	0	1.0	0.0	0.0	0.02	0.0	0.0	0.01
soxa	GCF_017498525.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.02
soxa	GCF_000215705.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.87
soxa	GCF_019973615.1	True	100	0	0	98	0	0	1.0	0.0	0.0	0.98	0.0	0.0	0.03
soxa	GCF_006970865.1	True	100	0	0	196	0	0	1.0	0.0	0.0	1.96	0.0	0.0	0.02
soxa	GCF_001761385.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_011388215.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_020162115.1	True	100	0	0	6	0	0	1.0	0.0	0.0	0.06	0.0	0.0	0.81
soxa	GCF_002222655.1	True	100	0	0	94	0	0	1.0	0.0	0.0	0.94	0.0	0.0	0.0
soxa	GCF_021049305.1	True	100	0	0	95	0	0	1.0	0.0	0.0	0.95	0.0	0.0	0.02
soxa	GCF_030254645.1	True	100	0	0	2	0	0	1.0	0.0	0.0	0.02	0.0	0.0	0.02
soxa	GCF_023734135.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.84
soxa	GCF_000015725.1	True	100	0	0	4	0	0	1.0	0.0	0.0	0.04	0.0	0.0	0.87
soxa	GCF_026013905.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001017435.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000253115.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_002028405.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_047549485.1	True	100	0	0	168	0	0	1.0	0.0	0.0	1.68	0.0	0.0	0.06
soxa	GCF_000972785.3	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000934605.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001029105.3	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000807775.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001465595.2	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.0
soxa	GCF_000815105.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001465545.3	True	100	0	0	97	0	0	1.0	0.0	0.0	0.97	0.0	0.0	0.0
soxa	GCF_900096765.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_013307245.1	True	100	0	0	99	0	0	1.0	0.0	0.0	0.99	0.0	0.0	0.0
soxa	GCF_003065365.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003065385.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001598055.1	True	100	0	0	37	0	0	1.0	0.0	0.0	0.37	0.0	0.0	0.31
soxa	GCF_000069785.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.27
soxa	GCF_000219215.1	True	100	0	0	35	0	0	1.0	0.0	0.0	0.35	0.0	0.0	0.33
soxa	GCF_016894385.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_008801925.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001854325.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_964332355.1	True	100	0	0	71	0	0	1.0	0.0	0.0	0.71	0.0	0.0	0.06
soxa	GCF_018243235.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_024925465.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_022811525.1	True	100	0	0	43	0	0	1.0	0.0	0.0	0.43	0.0	0.0	0.89
soxa	GCF_013004065.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_036323495.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003721225.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_048300925.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_018736085.1	True	100	0	0	9	0	0	1.0	0.0	0.0	0.09	0.0	0.0	0.08
soxa	GCF_000013885.1	True	100	0	0	69	0	0	1.0	0.0	0.0	0.69	0.0	0.0	0.04
soxa	GCF_029030725.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000218565.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_003966715.1	True	100	0	0	18	0	0	1.0	0.0	0.0	0.18	0.0	0.0	0.23
soxa	GCF_016807805.1	True	100	0	0	79	0	0	1.0	0.0	0.0	0.79	0.0	0.0	0.04
soxa	GCF_014495845.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.1
soxa	GCF_001889605.1	True	100	0	0	88	0	0	1.0	0.0	0.0	0.88	0.0	0.0	0.13
soxa	GCF_007922615.2	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.05
soxa	GCF_013358405.1	True	100	0	0	3	0	0	1.0	0.0	0.0	0.03	0.0	0.0	0.83
soxa	GCF_000967425.1	True	100	0	0	54	0	0	1.0	0.0	0.0	0.54	0.0	0.0	0.76
soxa	GCF_014126615.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.91
soxa	GCF_000154705.2	True	100	0	0	6	0	0	1.0	0.0	0.0	0.06	0.0	0.0	0.59
soxa	GCF_026898155.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_001953055.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_900231165.1	True	100	0	0	46	0	0	1.0	0.0	0.0	0.46	0.0	0.0	0.88
soxa	GCF_040269895.1	True	100	0	0	35	0	0	1.0	0.0	0.0	0.35	0.0	0.0	0.9
soxa	GCF_026191725.2	True	100	0	0	56	0	0	1.0	0.0	0.0	0.56	0.0	0.0	0.8
soxa	GCF_001999245.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000158095.2	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.0
soxa	GCF_000192745.1	True	100	0	0	49	0	0	1.0	0.0	0.0	0.49	0.0	0.0	0.85
soxa	GCF_009789575.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.02
soxa	GCF_018282095.1	True	100	0	0	80	0	0	1.0	0.0	0.0	0.8	0.0	0.0	0.13
soxa	GCF_000143145.1	True	100	0	0	1	0	0	1.0	0.0	0.0	0.01	0.0	0.0	0.65
soxa	GCF_029958925.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.04
soxa	GCF_039724765.1	True	100	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.87
soxa	GCF_016806125.1	True	100	0	0	20	0	0	1.0	0.0	0.0	0.2	0.0	0.0	0.92
