assembly_accession	window_bp	span_abs_gc_difference	local_abs_gc_difference	clusters
GCF_000006985.1	5000	-0.018691597154174424	-0.0061620551101608575	1
GCF_000006985.1	10000	-0.018691597154174424	-0.0031557238131398766	1
GCF_000006985.1	20000	-0.018691597154174424	0.011615431988766389	1
GCF_000008625.1	5000	0.015147501628080397	-0.01151690046201485	1
GCF_000008625.1	10000	0.015147501628080397	-0.008685750139000562	1
GCF_000008625.1	20000	0.015147501628080397	-0.002762496763273006	1
GCF_000011965.2	5000	-0.01947560749119385	-0.015756055641066573	1
GCF_000011965.2	10000	-0.01947560749119385	-0.013996166298474088	1
GCF_000011965.2	20000	-0.01947560749119385	-0.0032733127013559126	1
GCF_000012965.1	5000	0.005530458830378615	-0.0010349119775985927	2
GCF_000012965.1	10000	0.005530458830378615	0.008823672585122627	2
GCF_000012965.1	20000	0.005530458830378615	0.007230798928890159	2
GCF_000013885.1	5000	-0.007367426230428486	-0.009594635551290231	2
GCF_000013885.1	10000	-0.007367426230428486	-0.005030628568600546	2
GCF_000013885.1	20000	-0.007367426230428486	-0.007645540701298387	2
GCF_000014025.1	5000	0.02440496169901617	-0.003203481422400699	1
GCF_000014025.1	10000	0.02440496169901617	-0.005346185271422501	1
GCF_000014025.1	20000	0.02440496169901617	-0.006135449897696124	1
GCF_000014865.1	5000	-0.015524438660839043	0.0039700851379656215	3
GCF_000014865.1	10000	-0.015524438660839043	0.008556081941575517	3
GCF_000014865.1	20000	-0.015524438660839043	0.0013952322744745244	3
GCF_000015585.1	5000	-0.025695215807051457	-0.02112171090536303	1
GCF_000015585.1	10000	-0.025695215807051457	-0.013165644382620894	1
GCF_000015585.1	20000	-0.025695215807051457	-0.006200948824211794	1
GCF_000015725.1	5000	-0.008991492483622169	-0.004309845978217122	4
GCF_000015725.1	10000	-0.008991492483622169	-0.004588346180747537	4
GCF_000015725.1	20000	-0.008991492483622169	0.0006362111631311755	4
GCF_000016345.1	5000	-0.0016116805141833989	0.005255463134605852	2
GCF_000016345.1	10000	-0.0016116805141833989	0.005474739565786249	2
GCF_000016345.1	20000	-0.0016116805141833989	-0.002680904862273359	2
GCF_000018145.1	5000	-0.01790642144084581	-0.01254641347726856	2
GCF_000018145.1	10000	-0.01790642144084581	-0.010276464474374348	2
GCF_000018145.1	20000	-0.01790642144084581	-0.0013808650679071575	2
GCF_000019785.1	5000	0.015488161913582313	-0.009269385998377039	2
GCF_000019785.1	10000	0.015488161913582313	-0.002992067016121297	2
GCF_000019785.1	20000	0.015488161913582313	-0.0003492102479111716	2
GCF_000019945.1	5000	0.013207770124394813	0.024395622258707044	1
GCF_000019945.1	10000	0.013207770124394813	0.0073446287132236995	1
GCF_000019945.1	20000	0.013207770124394813	0.002839466121622175	1
GCF_000020505.1	5000	-0.0096270486925499	0.01931101962622277	1
GCF_000020505.1	10000	-0.0096270486925499	-0.002740479218704328	1
GCF_000020505.1	20000	-0.0096270486925499	-0.0030545736205765174	1
GCF_000020645.1	5000	0.011491227962443982	0.016040940269573613	2
GCF_000020645.1	10000	0.011491227962443982	0.01582745056371361	2
GCF_000020645.1	20000	0.011491227962443982	0.005649919926666996	2
GCF_000021545.1	5000	0.02674776910119563	0.014671876215483498	1
GCF_000021545.1	10000	0.02674776910119563	-0.0006980424264662749	1
