case_id,unit_id,source_id,evidence_layer,donor_class,functional_class,route_eligible,dependency_group,dependency_scheme,collapsed_n_rows,donor_tie,role_tie
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:fccb;recipient_sulfur_backbone:sat,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:fccb;recipient_sulfur_backbone:sat,homolog_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sat,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sat,homolog_dependency_group,28,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sat;recipient_sulfur_backbone:sqr,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sat;recipient_sulfur_backbone:sqr,homolog_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:sat,GTDB_R232,order_distribution,hgt_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:apra;recipient_sulfur_backbone:aprb;recipient_sulfur_backbone:sat,homolog_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb,GTDB_R232,order_distribution,hgt_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb,homolog_dependency_group,6,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sqr,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:dsra;recipient_sulfur_backbone:dsrb;recipient_sulfur_backbone:sqr,homolog_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::recipient_sulfur_backbone:sat,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,recipient_sulfur_backbone:sat,homolog_dependency_group,20,False,False
sox_genome_atlas,GTDB_R232::sox_energy_module:soxa,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,sox_energy_module:soxa,homolog_dependency_group,5,False,False
sox_genome_atlas,GTDB_R232::sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxc;sox_energy_module:soxx;sox_energy_module:soxy;sox_energy_module:soxz,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxc;sox_energy_module:soxx;sox_energy_module:soxy;sox_energy_module:soxz,homolog_dependency_group,179,False,False
sox_genome_atlas,GTDB_R232::sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxx,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxx,homolog_dependency_group,16,False,False
sox_genome_atlas,GTDB_R232::sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxx;sox_energy_module:soxy;sox_energy_module:soxz,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,sox_energy_module:soxa;sox_energy_module:soxb;sox_energy_module:soxx;sox_energy_module:soxy;sox_energy_module:soxz,homolog_dependency_group,116,False,False
