family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	recipient_class	recipient_order	donor_class	donor_order
soxa	node_117	GCF_000154705.2	False	True	94	0.94	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_231	node_8	False	False	20	0.2				
soxa	node_113	GCF_029318635.1	False	True	3	0.03	c__Alphaproteobacteria	o__Rhodospirillales		
soxa	node_127	GCF_000018145.1	False	True	26	0.26	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	GCF_013358405.1	GCF_003403095.1	True	True	91	0.91	c__Alphaproteobacteria	o__Rhodospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxa	node_159	node_129	False	False	2	0.02				
soxa	GCF_000224005.2	GCF_033954455.1	True	True	37	0.37	c__Gammaproteobacteria	o__Chromatiales	c__Gammaproteobacteria	o__Chromatiales
soxa	node_13	node_24	False	False	12	0.12				
soxa	node_191	node_197	False	False	11	0.11				
soxa	GCF_006970865.1	node_66	True	False	10	0.1			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_117	GCF_900231165.1	False	True	92	0.92	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_040409955.1	GCF_039724765.1	True	True	88	0.88	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_013358405.1	GCF_001953055.1	True	True	87	0.87	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxa	GCF_029953595.1	GCF_014126615.1	True	True	90	0.9	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_198	GCF_000147355.1	False	True	28	0.28	c__Campylobacteria	o__Campylobacterales		
soxa	GCF_013358405.1	node_125	True	False	84	0.84			c__Alphaproteobacteria	o__Rhizobiales
soxa	node_79	GCF_033723955.1	False	True	52	0.52	c__Gammaproteobacteria	o__Pseudomonadales		
soxa	node_143	GCF_040790665.1	False	True	32	0.32	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	GCF_013372265.1	GCF_003544835.1	True	True	89	0.89	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxa	node_50	node_41	False	False	79	0.79				
soxa	GCF_021049305.1	node_74	True	False	10	0.1			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_27	GCF_013343005.1	False	True	9	0.09	c__Gammaproteobacteria	o__GCF-013343005		
soxa	GCF_029318635.1	node_240	True	False	36	0.36			c__Alphaproteobacteria	o__Rhodospirillales
soxa	node_25	GCF_009650135.1	False	True	5	0.05	c__Gammaproteobacteria	o__Pseudomonadales		
soxa	node_38	GCF_000828615.1	False	True	92	0.92	c__Gammaproteobacteria	o__Chromatiales		
soxa	node_113	GCF_009789575.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_154	GCF_032842945.2	False	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales		
soxa	node_202	node_204	False	False	39	0.39				
soxa	node_93	node_91	False	False	7	0.07				
soxa	node_233	node_123	False	False	3	0.03				
soxa	GCF_045277565.1	GCF_003544895.1	True	True	70	0.7	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	node_143	GCF_026191725.2	False	True	15	0.15	c__Alphaproteobacteria	o__Rhizobiales		
soxa	node_18	node_108	False	False	12	0.12				
soxa	node_167	node_172	False	False	44	0.44				
soxa	node_104	GCF_003966715.1	False	True	5	0.05	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_002222655.1	node_75	True	False	13	0.13			c__Gammaproteobacteria	o__Burkholderiales
soxa	node_122	GCF_024662015.1	False	True	2	0.02	c__Alphaproteobacteria	o__Thalassobaculales		
soxa	GCF_000968535.2	node_20	True	False	25	0.25			c__Gammaproteobacteria	o__Methylococcales
soxa	GCF_003008555.2	GCF_008728195.1	True	True	90	0.9	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxa	GCF_001305595.1	GCF_040269895.1	True	True	42	0.42	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Azospirillales
soxa	node_6	node_33	False	False	69	0.69				
soxa	GCF_013201705.1	node_219	True	False	90	0.9			c__Campylobacteria	o__Campylobacterales
soxa	node_110	GCF_000013885.1	False	True	5	0.05	c__Alphaproteobacteria	o__Rhizobiales		
soxa	GCF_047549485.1	node_78	True	False	75	0.75			c__Gammaproteobacteria	o__Burkholderiales
