family	assembly_accession	gtdb_order	gtdb_class	gene_tree_order_coherence_k10	species_tree_order_coherence_k10	order_discordance	gene_tree_class_coherence_k10	species_tree_class_coherence_k10	class_discordance
soxa	GCF_000006985.1	o__Chlorobiales	c__Chlorobiia	0.3	0.3	0.0	0.3	0.3	0.0
soxa	GCF_000008625.1	o__Aquificales	c__Aquificia	0.1	0.6	0.5	0.1	0.6	0.5
soxa	GCF_000011965.2	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000012965.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000013885.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.4	1.0	0.6
soxa	GCF_000015585.1	o__Nitrococcales	c__Gammaproteobacteria	0.0	0.0	0.0	0.3	1.0	0.7
soxa	GCF_000015725.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000018145.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000020505.1	o__Chlorobiales	c__Chlorobiia	0.3	0.3	0.0	0.3	0.3	0.0
soxa	GCF_000020645.1	o__Chlorobiales	c__Chlorobiia	0.3	0.3	0.0	0.3	0.3	0.0
soxa	GCF_000021545.1	o__Aquificales	c__Aquificia	0.1	0.6	0.5	0.1	0.6	0.5
soxa	GCF_000021565.1	o__Aquificales	c__Aquificia	0.1	0.6	0.5	0.1	0.6	0.5
soxa	GCF_000022145.1	o__Myxococcales	c__Myxococcia	0.0	0.0	0.0	0.0	0.0	0.0
soxa	GCF_000024765.1	o__Halothiobacillales	c__Gammaproteobacteria	0.2	0.2	0.0	1.0	1.0	0.0
soxa	GCF_000025485.1	o__Chromatiales	c__Gammaproteobacteria	0.4	0.6	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_000025605.1	o__Aquificales	c__Aquificia	0.3	0.6	0.3	0.3	0.6	0.3
soxa	GCF_000025705.1	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_000069785.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000092245.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000143145.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.3	1.0	0.7
soxa	GCF_000147355.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000153125.2	o__Pseudomonadales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_000154705.2	o__Rhizobiales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_000154785.2	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_000158095.2	o__Rhizobiales	c__Alphaproteobacteria	0.8	1.0	0.19999999999999996	0.9	1.0	0.09999999999999998
soxa	GCF_000183725.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000186245.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000192745.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.3	1.0	0.7
soxa	GCF_000202835.1	o__Acetobacterales	c__Alphaproteobacteria	0.0	0.0	0.0	0.4	1.0	0.6
soxa	GCF_000215705.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000218565.1	o__Rhizobiales	c__Alphaproteobacteria	0.3	1.0	0.7	0.4	1.0	0.6
soxa	GCF_000219215.1	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000224005.2	o__Chromatiales	c__Gammaproteobacteria	0.4	0.6	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_000227685.2	o__Ectothiorhodospirales	c__Gammaproteobacteria	0.2	0.2	0.0	0.7	1.0	0.30000000000000004
soxa	GCF_000227745.2	o__Chromatiales	c__Gammaproteobacteria	0.4	0.6	0.19999999999999996	1.0	1.0	0.0
soxa	GCF_000242915.1	o__Campylobacterales	c__Campylobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000253115.1	o__Burkholderiales	c__Gammaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_000297055.2	o__Burkholderiales	c__Gammaproteobacteria	0.5	1.0	0.5	1.0	1.0	0.0
soxa	GCF_000321415.2	o__Ectothiorhodospirales	c__Gammaproteobacteria	0.2	0.2	0.0	0.7	1.0	0.30000000000000004
soxa	GCF_000511355.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000511385.1	o__Rhodobacterales	c__Alphaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000512735.1	o__Aquificales	c__Aquificia	0.3	0.6	0.3	0.3	0.6	0.3
soxa	GCF_000590925.1	o__Rhodobacterales	c__Alphaproteobacteria	0.9	1.0	0.09999999999999998	1.0	1.0	0.0
soxa	GCF_000807775.2	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000815105.2	o__Burkholderiales	c__Gammaproteobacteria	1.0	1.0	0.0	1.0	1.0	0.0
soxa	GCF_000828615.1	o__Chromatiales	c__Gammaproteobacteria	0.3	0.6	0.3	0.9	1.0	0.09999999999999998
